Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C)
Lethbridge Demo Farm IMCIN,26-Jun-23,10.4,26.7,19.3
Lethbridge Demo Farm IMCIN,27-Jun-23,9.1,28.6,19.6
Lethbridge Demo Farm IMCIN,28-Jun-23,13,28.6,20.8
Lethbridge Demo Farm IMCIN,29-Jun-23,11.2,31.6,22
Lethbridge Demo Farm IMCIN,30-Jun-23,13,30.6,22
Lethbridge Demo Farm IMCIN,1-Jul-23,12.1,31.1,22.6
Lethbridge Demo Farm IMCIN,2-Jul-23,9.9,21.6,15.2
Lethbridge Demo Farm IMCIN,3-Jul-23,9.1,21.9,15.2
Lethbridge Demo Farm IMCIN,4-Jul-23,10.4,21.8,15.6
Lethbridge Demo Farm IMCIN,5-Jul-23,7.1,25.8,17.5
Lethbridge Demo Farm IMCIN,6-Jul-23,7.1,26.8,18.1
Lethbridge Demo Farm IMCIN,7-Jul-23,11.2,25.9,18.1
Lethbridge Demo Farm IMCIN,8-Jul-23,9.5,29.7,19.7
Lethbridge Demo Farm IMCIN,9-Jul-23,10.7,31.8,22.4
Lethbridge Demo Farm IMCIN,10-Jul-23,12.2,28.8,20.8
Lethbridge Demo Farm IMCIN,11-Jul-23,10.5,24.1,16.6
Lethbridge Demo Farm IMCIN,12-Jul-23,11.4,26.1,18.8
Lethbridge Demo Farm IMCIN,13-Jul-23,10.4,24.4,18.1
Lethbridge Demo Farm IMCIN,14-Jul-23,12.9,25,18.8
Lethbridge Demo Farm IMCIN,15-Jul-23,10.5,27.8,19.3
Lethbridge Demo Farm IMCIN,16-Jul-23,13.2,28.4,21
Lethbridge Demo Farm IMCIN,17-Jul-23,12.3,31.3,21.9
Lethbridge Demo Farm IMCIN,18-Jul-23,11.7,24.9,18.2
Lethbridge Demo Farm IMCIN,19-Jul-23,8.5,25,17.5
Lethbridge Demo Farm IMCIN,20-Jul-23,9,29.2,20.1
Lethbridge Demo Farm IMCIN,21-Jul-23,10.5,32.9,21.5
Lethbridge Demo Farm IMCIN,22-Jul-23,10.9,34.2,23.6
Lethbridge Demo Farm IMCIN,23-Jul-23,16.8,30.7,23.9
Lethbridge Demo Farm IMCIN,24-Jul-23,12.9,35.2,24.6
Lethbridge Demo Farm IMCIN,25-Jul-23,17.1,27.9,23.6
Lethbridge Demo Farm IMCIN,26-Jul-23,10.5,26.6,19.3
Lethbridge Demo Farm IMCIN,27-Jul-23,7.4,22.9,15.6
Lethbridge Demo Farm IMCIN,28-Jul-23,11.2,19.4,14.2
Lethbridge Demo Farm IMCIN,29-Jul-23,12.2,26.9,18.5
Lethbridge Demo Farm IMCIN,30-Jul-23,12.1,33.5,21.2
Lethbridge Demo Farm IMCIN,31-Jul-23,9.9,32.2,21.7
Lethbridge Demo Farm IMCIN,1-Aug-23,10.2,28.8,19.9
Lethbridge Demo Farm IMCIN,2-Aug-23,9.2,30.2,20.3
Lethbridge Demo Farm IMCIN,3-Aug-23,13.7,27.8,20.9
Lethbridge Demo Farm IMCIN,4-Aug-23,13.9,26.1,19.3
Lethbridge Demo Farm IMCIN,5-Aug-23,14,24.7,18.8
Lethbridge Demo Farm IMCIN,6-Aug-23,11.7,27.3,18.8
Lethbridge Demo Farm IMCIN,7-Aug-23,9.8,29.1,19.5
Lethbridge Demo Farm IMCIN,8-Aug-23,11,29.5,20.6
Lethbridge Demo Farm IMCIN,9-Aug-23,11.8,27.3,18.5
Lethbridge Demo Farm IMCIN,10-Aug-23,11.9,26.4,19
Lethbridge Demo Farm IMCIN,11-Aug-23,6.6,25.1,17.1
Lethbridge Demo Farm IMCIN,12-Aug-23,10.8,22.6,17.3
Lethbridge Demo Farm IMCIN,13-Aug-23,7.7,29.8,19.5
Lethbridge Demo Farm IMCIN,14-Aug-23,10.9,34.7,23.3
